Time Stamp1,Sample1_data,Time Stamp2,Sample2_data
2024-07-09 18:33:55.078661,3.55404,2024-07-09 18:34:25.678422,0.72415
2024-07-09 18:33:55.079084,2.54883,2024-07-09 18:34:25.678759,2.96949
2024-07-09 18:33:55.079841,3.48668,2024-07-09 18:34:25.679096,3.43822
2024-07-09 18:33:55.080392,3.55505,2024-07-09 18:34:25.679431,1.08154
2024-07-09 18:33:55.081025,1.17134,2024-07-09 18:34:25.679769,0.74713
2024-07-09 18:33:55.081588,0.82342,2024-07-09 18:34:25.680105,0.72664
2024-07-09 18:33:55.082163,0.82105,2024-07-09 18:34:25.680440,2.14565
2024-07-09 18:33:55.082722,0.82035,2024-07-09 18:34:25.680777,3.40753
2024-07-09 18:33:55.083176,0.82084,2024-07-09 18:34:25.681113,3.45603
2024-07-09 18:33:55.083586,0.81956,2024-07-09 18:34:25.681447,3.45831
2024-07-09 18:33:55.084095,1.17073,2024-07-09 18:34:25.681787,3.45853
2024-07-09 18:33:55.084824,3.23657,2024-07-09 18:34:25.682124,3.45839
2024-07-09 18:33:55.085568,0.87792,2024-07-09 18:34:25.682462,3.45843
2024-07-09 18:33:55.086095,3.30704,2024-07-09 18:34:25.682801,3.45852
2024-07-09 18:33:55.086519,3.54111,2024-07-09 18:34:25.683137,3.45876
2024-07-09 18:33:55.702044,3.54921,2024-07-09 18:34:25.683472,3.45885
2024-07-09 18:33:55.702885,3.54172,2024-07-09 18:34:25.683810,3.00804
2024-07-09 18:33:55.703567,3.54869,2024-07-09 18:34:25.684148,0.86552
2024-07-09 18:33:55.704005,3.55196,2024-07-09 18:34:25.684485,2.98286
2024-07-09 18:33:55.704361,3.54935,2024-07-09 18:34:25.684828,3.43865
2024-07-09 18:33:55.704699,3.54889,2024-07-09 18:34:25.685167,3.4553
2024-07-09 18:33:55.705037,3.54918,2024-07-09 18:34:25.685503,3.45638
2024-07-09 18:33:55.705556,1.19183,2024-07-09 18:34:25.685837,1.59896
2024-07-09 18:33:55.705991,0.82757,2024-07-09 18:34:25.686176,0.77443
2024-07-09 18:33:55.706396,3.14908,2024-07-09 18:34:25.686526,0.72826
2024-07-09 18:33:55.706796,3.51741,2024-07-09 18:34:25.686863,2.36396
2024-07-09 18:33:55.707195,3.52575,2024-07-09 18:34:25.687202,3.41441
2024-07-09 18:33:55.707632,1.52911,2024-07-09 18:34:25.687554,3.45653
2024-07-09 18:33:55.708047,0.8407,2024-07-09 18:34:25.687890,1.27809
2024-07-09 18:33:55.708448,0.82226,2024-07-09 18:34:25.688229,0.75839
2024-07-09 18:33:55.708860,0.82197,2024-07-09 18:34:25.688564,0.72748
2024-07-09 18:33:55.709230,0.82167,2024-07-09 18:34:25.688901,2.6522
2024-07-09 18:33:55.709619,0.82079,2024-07-09 18:34:25.689238,3.42721
2024-07-09 18:33:55.710023,0.82006,2024-07-09 18:34:25.689572,3.45757
2024-07-09 18:33:55.710477,0.82035,2024-07-09 18:34:25.689909,3.45897
2024-07-09 18:33:55.710970,0.8195,2024-07-09 18:34:25.690269,1.73075
2024-07-09 18:33:55.711460,3.38832,2024-07-09 18:34:25.690605,2.59477
2024-07-09 18:33:55.711998,2.65627,2024-07-09 18:34:25.690941,3.42521
2024-07-09 18:33:55.712481,3.22685,2024-07-09 18:34:25.691278,3.45778
2024-07-09 18:33:55.712851,3.54635,2024-07-09 18:34:25.691614,3.45938
2024-07-09 18:33:55.713191,3.56627,2024-07-09 18:34:25.691949,3.45923
2024-07-09 18:33:55.713537,3.56709,2024-07-09 18:34:25.692289,3.45809
2024-07-09 18:33:55.713898,3.56462,2024-07-09 18:34:25.692627,3.45763
2024-07-09 18:33:55.714234,3.57015,2024-07-09 18:34:25.692964,3.45608
2024-07-09 18:33:55.714659,3.56742,2024-07-09 18:34:25.693300,3.45673
2024-07-09 18:33:55.714999,3.57014,2024-07-09 18:34:25.693638,3.45623
2024-07-09 18:33:55.715342,3.57151,2024-07-09 18:34:25.693975,3.45491
2024-07-09 18:33:55.715681,3.57194,2024-07-09 18:34:25.694314,3.14074
2024-07-09 18:33:55.716020,1.38237,2024-07-09 18:34:25.694651,0.86621
2024-07-09 18:33:55.716356,0.85344,2024-07-09 18:34:25.694986,2.65582
2024-07-09 18:33:55.716695,0.82528,2024-07-09 18:34:25.695321,3.42501
2024-07-09 18:33:55.717030,1.95729,2024-07-09 18:34:25.695659,3.45589
2024-07-09 18:33:55.717390,2.71252,2024-07-09 18:34:25.695994,3.12032
2024-07-09 18:33:55.717727,2.58127,2024-07-09 18:34:25.696329,0.85937
2024-07-09 18:33:55.718062,1.05215,2024-07-09 18:34:25.696665,0.73448
2024-07-09 18:33:55.718400,0.83476,2024-07-09 18:34:25.696999,0.72537
2024-07-09 18:33:55.718763,2.02772,2024-07-09 18:34:25.697335,0.72416
2024-07-09 18:33:55.719142,3.50027,2024-07-09 18:34:25.697670,3.15658
2024-07-09 18:33:55.719482,3.56462,2024-07-09 18:34:25.698005,3.22116
2024-07-09 18:33:55.719819,3.56974,2024-07-09 18:34:25.698341,0.88084
2024-07-09 18:33:55.720154,3.57312,2024-07-09 18:34:25.698677,0.73569
2024-07-09 18:33:55.720511,3.57441,2024-07-09 18:34:25.699011,0.72574
2024-07-09 18:33:55.720854,3.56701,2024-07-09 18:34:25.699349,0.72454
2024-07-09 18:33:55.721210,3.56236,2024-07-09 18:34:25.699685,0.72403
2024-07-09 18:33:55.721573,3.56059,2024-07-09 18:34:25.700031,1.58927
2024-07-09 18:33:55.721919,3.55698,2024-07-09 18:34:25.700367,0.78458
2024-07-09 18:33:55.722321,3.5553,2024-07-09 18:34:25.700706,0.72795
2024-07-09 18:33:55.722680,3.55222,2024-07-09 18:34:25.701044,0.72429
2024-07-09 18:33:55.723027,3.55247,2024-07-09 18:34:25.701379,0.72388
2024-07-09 18:33:55.723376,3.55299,2024-07-09 18:34:25.701715,3.20944
2024-07-09 18:33:55.723723,3.55365,2024-07-09 18:34:25.702052,3.44813
2024-07-09 18:33:55.724073,3.5539,2024-07-09 18:34:25.702400,3.4583
2024-07-09 18:33:55.724419,3.55468,2024-07-09 18:34:25.702740,3.45901
2024-07-09 18:33:55.724759,3.55475,2024-07-09 18:34:25.703075,3.45896
2024-07-09 18:33:55.725101,3.55485,2024-07-09 18:34:25.703414,3.45724
2024-07-09 18:33:55.725449,3.555,2024-07-09 18:34:25.703748,3.45743
2024-07-09 18:33:55.725791,3.55507,2024-07-09 18:34:25.704084,3.45699
2024-07-09 18:33:55.726143,3.55472,2024-07-09 18:34:25.704419,3.45662
2024-07-09 18:33:55.726489,1.26893,2024-07-09 18:34:25.704754,3.43194
2024-07-09 18:33:55.726848,0.84136,2024-07-09 18:34:25.705089,0.99863
2024-07-09 18:33:55.727203,1.11714,2024-07-09 18:34:25.705424,2.03503
2024-07-09 18:33:55.727544,3.41606,2024-07-09 18:34:25.705758,3.40179
2024-07-09 18:33:55.727887,3.5476,2024-07-09 18:34:25.706092,3.45601
2024-07-09 18:33:55.728239,3.55635,2024-07-09 18:34:25.706429,3.45824
2024-07-09 18:33:55.728582,1.84372,2024-07-09 18:34:25.706764,1.84381
2024-07-09 18:33:55.728928,0.86995,2024-07-09 18:34:25.707103,0.78603
2024-07-09 18:33:55.729272,0.82543,2024-07-09 18:34:25.707439,0.72964
2024-07-09 18:33:55.729615,0.82197,2024-07-09 18:34:25.707773,0.9048
2024-07-09 18:33:55.729964,0.82128,2024-07-09 18:34:25.708112,3.34029
2024-07-09 18:33:55.730383,0.82097,2024-07-09 18:34:25.708449,3.45256
2024-07-09 18:33:55.730776,0.82104,2024-07-09 18:34:25.708787,1.53396
2024-07-09 18:33:55.731131,0.82152,2024-07-09 18:34:25.709123,0.77068
2024-07-09 18:33:55.731474,0.82116,2024-07-09 18:34:25.709458,0.72884
2024-07-09 18:33:55.731817,0.82097,2024-07-09 18:34:25.709794,1.75562
2024-07-09 18:33:55.732166,2.10238,2024-07-09 18:34:25.710129,3.39197
2024-07-09 18:33:55.732516,3.49246,2024-07-09 18:34:25.710465,3.45654
2024-07-09 18:33:55.732870,3.14502,2024-07-09 18:34:25.710801,3.45951
2024-07-09 18:33:55.733210,0.96685,2024-07-09 18:34:25.711137,2.55715
2024-07-09 18:33:55.733549,3.30728,2024-07-09 18:34:25.711475,0.85529
2024-07-09 18:33:55.733894,3.54359,2024-07-09 18:34:25.711810,3.30293
2024-07-09 18:33:55.734237,3.55678,2024-07-09 18:34:25.712145,3.45149
2024-07-09 18:33:55.734660,3.55432,2024-07-09 18:34:25.712484,3.45761
2024-07-09 18:33:55.735086,1.34653,2024-07-09 18:34:25.712821,3.45767
2024-07-09 18:33:55.735514,1.76479,2024-07-09 18:34:25.713155,3.45735
2024-07-09 18:33:55.735883,3.47863,2024-07-09 18:34:25.713493,3.45727
2024-07-09 18:33:55.736233,3.54236,2024-07-09 18:34:25.713829,3.45747
2024-07-09 18:33:55.736581,3.51028,2024-07-09 18:34:25.714164,3.45782
2024-07-09 18:33:55.736927,1.09617,2024-07-09 18:34:25.714513,3.45766
2024-07-09 18:33:55.737285,0.83424,2024-07-09 18:34:25.714849,3.45811
2024-07-09 18:33:55.737661,0.82248,2024-07-09 18:34:25.715185,3.45791
2024-07-09 18:33:55.738021,0.82451,2024-07-09 18:34:25.715523,1.19132
2024-07-09 18:33:55.738372,0.82241,2024-07-09 18:34:25.715859,2.21668
2024-07-09 18:33:55.738719,1.07033,2024-07-09 18:34:25.716195,3.40836
2024-07-09 18:33:55.739062,0.90848,2024-07-09 18:34:25.716533,3.45443
2024-07-09 18:33:55.739407,0.82287,2024-07-09 18:34:25.716871,3.45731
2024-07-09 18:33:55.739758,0.87864,2024-07-09 18:34:25.717207,1.06569
2024-07-09 18:33:55.740100,3.29388,2024-07-09 18:34:25.717542,0.74734
2024-07-09 18:33:55.740444,3.52865,2024-07-09 18:34:25.717878,0.72708
2024-07-09 18:33:55.740807,3.5376,2024-07-09 18:34:25.718214,0.72498
2024-07-09 18:33:55.741192,3.52815,2024-07-09 18:34:25.718563,2.55225
2024-07-09 18:33:55.741548,1.15925,2024-07-09 18:34:25.718902,3.42322
2024-07-09 18:33:55.741920,3.2037,2024-07-09 18:34:25.719260,0.99658
2024-07-09 18:33:55.742333,3.53052,2024-07-09 18:34:25.719596,0.74212
2024-07-09 18:33:55.742747,3.54362,2024-07-09 18:34:25.719931,0.72647
2024-07-09 18:33:55.743109,3.54999,2024-07-09 18:34:25.720269,0.72479
2024-07-09 18:33:55.743455,3.562,2024-07-09 18:34:25.720604,0.81849
2024-07-09 18:33:55.743793,3.56913,2024-07-09 18:34:25.720939,3.31391
2024-07-09 18:33:55.744130,3.57219,2024-07-09 18:34:25.721278,3.19233
2024-07-09 18:33:55.744472,3.57388,2024-07-09 18:34:25.721614,0.88182
2024-07-09 18:33:55.744819,3.56545,2024-07-09 18:34:25.721949,0.73575
2024-07-09 18:33:55.745157,3.57092,2024-07-09 18:34:25.722300,0.72528
2024-07-09 18:33:55.745516,3.574,2024-07-09 18:34:25.722636,3.03593
2024-07-09 18:33:55.745859,3.57307,2024-07-09 18:34:25.722974,3.44107
2024-07-09 18:33:55.746197,3.57386,2024-07-09 18:34:25.723308,3.45669
2024-07-09 18:33:55.746588,3.57066,2024-07-09 18:34:25.723644,3.45715
2024-07-09 18:33:55.746936,3.57303,2024-07-09 18:34:25.723980,3.45707
2024-07-09 18:33:55.747271,3.57459,2024-07-09 18:34:25.724316,3.45676
2024-07-09 18:33:55.747610,2.16049,2024-07-09 18:34:25.724655,3.45697
2024-07-09 18:33:55.747946,1.14944,2024-07-09 18:34:25.724990,3.45752
2024-07-09 18:33:55.748280,3.42117,2024-07-09 18:34:25.725325,3.45819
2024-07-09 18:33:55.748619,3.5665,2024-07-09 18:34:25.725663,3.45848
2024-07-09 18:33:55.748955,3.57443,2024-07-09 18:34:25.725999,2.81901
